reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29,cov30,cov31,cov32,cov33,cov34,cov35,cov36,cov37,cov38,cov39,cov40,cov41,cov42,cov43,cov44,cov45,cov46,cov47,cov48,cov49,cov50,cov51,cov52,cov53
evreg1,1bno.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,2o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,3o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,4o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,5o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,6o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,8o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,9o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,10o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,11o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,12o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,13o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,1o.treat,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,wind_direction,-.0122012079508133,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.0000281236253858,.001172469480052,.0002053750060114,.0003279032732918,.0002195972850123,.0002055296017233,.0003365515257186,.0001857337352397,.0000236982791804,.0006409928192449,.000832600987422,.0008292960279871,.0008248658399689,.0012770467192993,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,av_wind_speed,-17.87596732922634,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.001172469480052,69.01119394193861,2.259708607865457,2.341911551022767,1.696865699224889,1.123611092962296,-.4565089187707635,.427070469156463,3.424957048345974,1.374939234046918,-1.12188097812127,-1.208717661396219,-2.723241809519525,-4.458611714676596,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,1bn.relative_year_bin_aux#1.treat,-9.054829378571588,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.0002053750060114,2.259708607865457,17.00837913227832,4.64240377266981,4.368655396422218,4.24283416975978,3.482163474909491,3.451852896598099,4.400207606497615,3.573758284137875,3.226156025827609,3.186159914430466,3.067162959361937,2.961117489280942,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,2.relative_year_bin_aux#1.treat,6.096127476087384,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.0003279032732918,2.341911551022767,4.64240377266981,9.261362073999932,4.470408144761907,4.443933003114044,3.708110647732995,3.587290230948056,4.415798235201165,3.617308141034408,3.296907237140125,3.250853066176535,3.128023867217434,2.971768586371301,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,3.relative_year_bin_aux#1.treat,1.094777698436411,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.0002195972850123,1.696865699224889,4.368655396422218,4.470408144761907,6.633626873915717,4.643778205673076,3.929831351149448,3.675687306744987,4.379915966572742,3.722915463603194,3.461253506029148,3.440857807127353,3.330486883404654,3.224055462374194,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,4.relative_year_bin_aux#1.treat,-.8976216482541766,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.0002055296017233,1.123611092962296,4.24283416975978,4.443933003114044,4.643778205673076,8.914624454595105,4.202995632796098,3.833401642116176,4.031437550031869,3.533968891818297,3.489571814782771,3.558806507850268,3.510972695515566,3.460888765479075,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,5.relative_year_bin_aux#1.treat,3.701252604433996,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.0003365515257186,-.4565089187707635,3.482163474909491,3.708110647732995,3.929831351149448,4.202995632796098,7.958439002954013,3.868012693109936,4.128818976238948,3.556348873227396,3.545683524893136,3.704911323475827,3.723236989268086,3.729994209397441,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,6.relative_year_bin_aux#1.treat,-.4314018294498032,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,.0001857337352397,.427070469156463,3.451852896598099,3.587290230948056,3.675687306744987,3.833401642116176,3.868012693109936,7.856812159975945,3.70284762008701,3.770960442916293,3.671707749132987,3.792651547152984,3.879870823057127,4.01997777850699,,,,,,,,,,,,,,,,,,,,,,,,,,
