reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25
evreg1,11.relative_year_bin_aux#1.treat,-34.58867280091906,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,.0032075482413268,-8.924225194600249,12.32909141972987,12.85954365622144,13.24720310896464,13.87393380911587,14.33866368374417,8.624677313508165,17.14563652805388,21.72647576554187,23.41122045882806,43.54982202078786,28.048836495018
evreg1,12.relative_year_bin_aux#1.treat,-17.8173173459672,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,.0037232994015182,-9.158255456151757,12.22348670156115,12.77786453799767,13.28727741261355,14.02131417490568,14.7934775780505,6.567609159531169,16.91998682708571,22.6124773494119,24.54013519221503,28.048836495018,62.16468814044216
evreg2,1bno.relative_year_bin_aux,0,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,2o.relative_year_bin_aux,0,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,3o.relative_year_bin_aux,0,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,4o.relative_year_bin_aux,0,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,5o.relative_year_bin_aux,0,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,7o.relative_year_bin_aux,0,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,8o.relative_year_bin_aux,0,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,9o.relative_year_bin_aux,0,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,10o.relative_year_bin_aux,0,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,11o.relative_year_bin_aux,0,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,12o.relative_year_bin_aux,0,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1o.treat,0,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,wind_direction,-.0313887166904211,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,.0001007056516733,.0070492056025845,.0012015440695979,.0007806132788695,.0008140707118792,.0007987545259614,-.0000200109292432,-.0004640732583801,.0021473063621805,.002996305677893,.0030375471679226,.0032075482413268,.0037232994015182
evreg2,av_wind_speed,-29.66671829800668,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,.0070492056025845,237.6270706543104,7.180482674708752,4.202979558329452,2.893857531498833,1.311539695619998,2.096586372524767,8.02995810203854,6.460934563513533,-2.846366579497446,-1.81720336484154,-8.924225194600249,-9.158255456151757
evreg2,1bn.relative_year_bin_aux#1.treat,2.730060029590773,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,.0012015440695979,7.180482674708752,25.54915917840222,14.70686014982777,14.87981538506949,13.24842432327543,13.51561345751515,15.12409505792365,13.20905527848838,12.50241318965418,12.5914111919294,12.32909141972987,12.22348670156115
evreg2,2.relative_year_bin_aux#1.treat,3.591274357957191,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,.0007806132788695,4.202979558329452,14.70686014982777,19.59076877150312,15.71789073085822,14.08772841967895,13.82890837795937,14.88920344439688,13.47905446980522,12.89897880701645,13.00976773609208,12.85954365622144,12.77786453799767
evreg2,3.relative_year_bin_aux#1.treat,.7035364095953436,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,.0008140707118792,2.893857531498833,14.87981538506949,15.71789073085822,23.05168673049572,14.53013004011566,14.23922402994356,14.1994353707846,12.88018398540987,12.85993916537094,13.22553192194582,13.24720310896464,13.28727741261355
evreg2,4.relative_year_bin_aux#1.treat,1.730752741338614,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,.0007987545259614,1.311539695619998,13.24842432327543,14.08772841967895,14.53013004011566,20.64746632415666,14.08919030306489,14.48531218753252,13.16047921645216,13.38017179614318,13.74375303846574,13.87393380911587,14.02131417490568
evreg2,5.relative_year_bin_aux#1.treat,-3.338576059134508,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,-.0000200109292432,2.096586372524767,13.51561345751515,13.82890837795937,14.23922402994356,14.08919030306489,27.2637372090374,14.51850789202044,13.77276790750726,13.5438505999902,14.09957658796262,14.33866368374417,14.7934775780505
evreg2,7.relative_year_bin_aux#1.treat,8.007108092769831,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,-.0004640732583801,8.02995810203854,15.12409505792365,14.88920344439688,14.1994353707846,14.48531218753252,14.51850789202044,47.96327894714143,13.39389178806116,12.04251472872511,10.72940901938486,8.624677313508165,6.567609159531169
evreg2,8.relative_year_bin_aux#1.treat,2.604850918226525,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,.0021473063621805,6.460934563513533,13.20905527848838,13.47905446980522,12.88018398540987,13.16047921645216,13.77276790750726,13.39389178806116,35.08819081116008,17.22715753748242,17.35935157899308,17.14563652805388,16.91998682708571
evreg2,9.relative_year_bin_aux#1.treat,-20.79488507001064,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,.002996305677893,-2.846366579497446,12.50241318965418,12.89897880701645,12.85993916537094,13.38017179614318,13.5438505999902,12.04251472872511,17.22715753748242,28.59051609734413,20.49436031333592,21.72647576554187,22.6124773494119
evreg2,10.relative_year_bin_aux#1.treat,-20.5257518187498,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,.0030375471679226,-1.81720336484154,12.5914111919294,13.00976773609208,13.22553192194582,13.74375303846574,14.09957658796262,10.72940901938486,17.35935157899308,20.49436031333592,32.20544379583644,23.41122045882806,24.54013519221503
evreg2,11.relative_year_bin_aux#1.treat,-34.58867280091906,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,.0032075482413268,-8.924225194600249,12.32909141972987,12.85954365622144,13.24720310896464,13.87393380911587,14.33866368374417,8.624677313508165,17.14563652805388,21.72647576554187,23.41122045882806,43.54982202078786,28.048836495018
evreg2,12.relative_year_bin_aux#1.treat,-17.8173173459672,148.6896279677523,0,0,0,0,0,0,0,0,0,0,0,0,.0037232994015182,-9.158255456151757,12.22348670156115,12.77786453799767,13.28727741261355,14.02131417490568,14.7934775780505,6.567609159531169,16.91998682708571,22.6124773494119,24.54013519221503,28.048836495018,62.16468814044216
