reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21
evreg1,10.relative_year_bin_aux#1.treat,23.16165870138572,194.6914946960784,0,0,0,0,0,0,0,0,0,0,-.1141724064186066,5.524897487491236,3.701694697701037,45.52984870527527,53.92474816305603,65.02471948432789,65.41724154136419,86.79876000702266,76.42055151134998,166.2927366369841,187.3912413247726
evreg2,1bno.relative_year_bin_aux,0,194.6914946960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,2o.relative_year_bin_aux,0,194.6914946960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,3o.relative_year_bin_aux,0,194.6914946960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,4o.relative_year_bin_aux,0,194.6914946960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,6o.relative_year_bin_aux,0,194.6914946960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,7o.relative_year_bin_aux,0,194.6914946960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,8o.relative_year_bin_aux,0,194.6914946960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,9o.relative_year_bin_aux,0,194.6914946960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,10o.relative_year_bin_aux,0,194.6914946960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1o.treat,0,194.6914946960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,wind_direction,-1.561927718656822,194.6914946960784,0,0,0,0,0,0,0,0,0,0,.0087847116507848,-.742727137208501,.0700341233313734,-.0788243258995269,-.0604594488106842,-.0742900320347464,-.1550407018273147,-.2452722116362181,-.1064574092821163,-.3529652498629147,-.1141724064186066
evreg2,av_wind_speed,152.0866141117342,194.6914946960784,0,0,0,0,0,0,0,0,0,0,-.742727137208501,370.3178885844268,-18.49078100851273,-10.87038273077051,.8130491677038614,-8.833843984231107,-12.37124628749372,5.628605547064449,3.402760973434034,15.82626905971293,5.524897487491236
evreg2,1bn.relative_year_bin_aux#1.treat,1.708909375752206,194.6914946960784,0,0,0,0,0,0,0,0,0,0,.0700341233313734,-18.49078100851273,224.605430424979,59.55640988391251,79.55374771066349,22.69625001077362,17.37507596307151,7.930435299840971,7.22051837207813,1.949919000979518,3.701694697701037
evreg2,2.relative_year_bin_aux#1.treat,15.17606343775671,194.6914946960784,0,0,0,0,0,0,0,0,0,0,-.0788243258995269,-10.87038273077051,59.55640988391251,132.8852363296147,90.39357101982201,72.58795077748059,51.36234909861908,46.46493596869779,46.71010769982104,45.52665125994252,45.52984870527527
evreg2,3.relative_year_bin_aux#1.treat,24.15760810251887,194.6914946960784,0,0,0,0,0,0,0,0,0,0,-.0604594488106842,.8130491677038614,79.55374771066349,90.39357101982201,149.2127958894913,77.48761388407952,59.54334028943733,55.50517757884888,54.12119401502954,52.68842761032711,53.92474816305603
evreg2,4.relative_year_bin_aux#1.treat,15.49037196669428,194.6914946960784,0,0,0,0,0,0,0,0,0,0,-.0742900320347464,-8.833843984231107,22.69625001077362,72.58795077748059,77.48761388407952,124.2530760202507,64.98928394544254,66.08363476962835,65.06377296278615,65.91487664874333,65.02471948432789
evreg2,6.relative_year_bin_aux#1.treat,32.0810260908461,194.6914946960784,0,0,0,0,0,0,0,0,0,0,-.1550407018273147,-12.37124628749372,17.37507596307151,51.36234909861908,59.54334028943733,64.98928394544254,122.7394131040807,88.13022953179572,103.3320422121225,57.92731149953903,65.41724154136419
evreg2,7.relative_year_bin_aux#1.treat,45.96150277837394,194.6914946960784,0,0,0,0,0,0,0,0,0,0,-.2452722116362181,5.628605547064449,7.930435299840971,46.46493596869779,55.50517757884888,66.08363476962835,88.13022953179572,157.0285225338155,83.48215953586906,92.55054572847516,86.79876000702266
evreg2,8.relative_year_bin_aux#1.treat,36.26920582721314,194.6914946960784,0,0,0,0,0,0,0,0,0,0,-.1064574092821163,3.402760973434034,7.22051837207813,46.71010769982104,54.12119401502954,65.06377296278615,103.3320422121225,83.48215953586906,207.3893979284516,74.52022735182928,76.42055151134998
evreg2,9.relative_year_bin_aux#1.treat,52.5738938711463,194.6914946960784,0,0,0,0,0,0,0,0,0,0,-.3529652498629147,15.82626905971293,1.949919000979518,45.52665125994252,52.68842761032711,65.91487664874333,57.92731149953903,92.55054572847516,74.52022735182928,268.5559205971198,166.2927366369841
evreg2,10.relative_year_bin_aux#1.treat,23.16165870138572,194.6914946960784,0,0,0,0,0,0,0,0,0,0,-.1141724064186066,5.524897487491236,3.701694697701037,45.52984870527527,53.92474816305603,65.02471948432789,65.41724154136419,86.79876000702266,76.42055151134998,166.2927366369841,187.3912413247726
